kernel,m,density,nnz,gflops,ai_flop_per_byte,ceiling_gflops,pct_fp32_peak,pct_roofline,eff_dram_bw_gbs,pct_dram_bw,bound,B_fits_L2
wmma,16384,,13421456,153.51,48.73896386182385,8140.0,1.885872235872236,1.885872235872236,3.149693500969538,0.9842792190529807,compute/L2,False
baseline,16384,,2684748,134.05,24.948130126642084,7983.401640525467,1.646805896805897,1.6791088064457804,5.373103838352317,1.679094949485099,memory,False
memopt,16384,,2684748,124.2,24.948130126642084,7983.401640525467,1.5257985257985258,1.555727816192211,4.978176167113906,1.5556800522230956,memory,False
memopt_v2,16384,,2684748,122.59,24.948130126642084,7983.401640525467,1.506019656019656,1.53556097413046,4.913844534817351,1.5355764171304223,memory,False
tiled,16384,,2684748,180.62,24.948130126642084,7983.401640525467,2.218918918918919,2.262444107573568,7.239823925155051,2.2624449766109533,memory,False
tiled_v2,16384,,2684748,177.13,24.948130126642084,7983.401640525467,2.176044226044226,2.2187284064583443,7.099794600863347,2.218685812769796,memory,False
tiled_v3,16384,,2684748,201.58,24.948130126642084,7983.401640525467,2.4764127764127766,2.5249888340420767,8.080063938993987,2.525019980935621,memory,False
tiled_v4,16384,,2684748,206.47,24.948130126642084,7983.401640525467,2.5364864864864867,2.586240919558823,8.276073000375517,2.586272812617349,memory,False
wmma,16384,,2684748,32.68,24.948130126642084,7983.401640525467,0.4014742014742015,0.40934931588696827,1.3100438678875175,0.4093887087148492,memory,False
baseline,16384,,268160,124.39,3.8388634868279414,1228.4363157849411,1.528132678132678,10.12588104093274,32.40486726465525,10.126521020204766,memory,False
memopt,16384,,268160,111.92,3.8388634868279414,1228.4363157849411,1.374938574938575,9.110769403498612,29.153286599282687,9.11040206227584,memory,False
memopt_v2,16384,,268160,112.0,3.8388634868279414,1228.4363157849411,1.375921375921376,9.117281747604043,29.174689615792477,9.117090504935149,memory,False
tiled,16384,,268160,133.02,3.8388634868279414,1228.4363157849411,1.6341523341523343,10.82840016130616,34.64953691145127,10.827980284828524,memory,False
tiled_v2,16384,,268160,148.98,3.8388634868279414,1228.4363157849411,1.83022113022113,12.127612810339734,38.807782118055556,12.127431911892362,memory,False
tiled_v3,16384,,268160,147.67,3.8388634868279414,1228.4363157849411,1.814127764127764,12.020973175613292,38.465532372553234,12.020478866422886,memory,False
tiled_v4,16384,,268160,138.77,3.8388634868279414,1228.4363157849411,1.704791154791155,11.296474893884046,36.14842530826764,11.296382908833639,memory,False
wmma,16384,,268160,13.18,3.8388634868279414,1228.4363157849411,0.16191646191646192,1.072908691369833,3.432299955854974,1.0725937362046793,memory,False
